Frame,Boundary,Phase,Speed,GammaFreq,GammaAmp,MasterFreq,PosX,PosY,PosZ,ThetaBeta,ThetaGamma,ThetaZeta,ThetaPsi,ThetaPhi
558,,0.110788,2.000000,8.360000,78.600000,8.360000,-1.117790,3.189796,6.907718,24.965537,80.296903,-3.801363,15.199966,-36.465786
559,,0.112303,2.000000,8.360000,78.600000,8.360000,-1.120299,3.190436,6.909292,24.832998,82.869804,-3.185108,15.756292,-37.434446
560,,0.113818,2.000000,8.360000,78.600000,8.360000,-1.122809,3.191076,6.910866,24.685833,84.981383,-2.548690,16.212869,-38.229426
561,,0.115333,2.000000,8.360000,78.600000,8.360000,-1.125319,3.191717,6.912438,24.524129,86.618275,-1.896136,16.566806,-38.845693
562,,0.116848,2.000000,8.360000,78.600000,8.360000,-1.127830,3.192357,6.914009,24.347981,87.770115,-1.231579,16.815863,-39.279344
563,,0.118363,2.000000,8.360000,78.600000,8.360000,-1.130341,3.192997,6.915579,24.157493,88.429612,-0.559224,16.958463,-39.527635
564,YES,0.000261,2.000000,8.785250,82.852500,8.785250,-1.132853,3.193638,6.917149,0.147713,108.585728,0.170083,19.990399,-44.983198
565,,0.001777,2.000000,8.785250,82.852500,8.785250,-1.135365,3.194279,6.918717,0.768603,92.454442,0.856439,17.410917,-40.344705
566,,0.003292,2.000000,8.785250,82.852500,8.785250,-1.137878,3.194920,6.920284,1.423623,91.488586,1.580681,17.206968,-39.989252
567,,0.004807,2.000000,8.785250,82.852500,8.785250,-1.140392,3.195562,6.921851,2.077754,89.953059,2.293873,16.882729,-39.424151
568,,0.006322,2.000000,8.785250,82.852500,8.785250,-1.142906,3.196203,6.923416,2.730588,87.858596,2.991029,16.440467,-38.653351
569,,0.007837,2.000000,8.785250,82.852500,8.785250,-1.145421,3.196844,6.924981,3.381718,85.219839,3.667275,15.883272,-37.682242
570,,0.009352,2.000000,8.785250,82.852500,8.785250,-1.147936,3.197485,6.926545,4.030738,82.055235,4.317884,15.215041,-36.517611
571,,0.010867,2.000000,8.785250,82.852500,8.785250,-1.150452,3.198127,6.928107,4.677242,78.386908,4.938308,14.440444,-35.167601
572,,0.012383,2.000000,8.785250,82.852500,8.785250,-1.152968,3.198768,6.929669,5.320827,74.240501,5.524209,13.564897,-33.641650
573,,0.013898,2.000000,8.785250,82.852500,8.785250,-1.155485,3.199409,6.931230,5.961091,69.645002,6.071491,12.594520,-31.950424
574,,0.015413,2.000000,8.785250,82.852500,8.785250,-1.158003,3.200050,6.932790,6.597635,64.632536,6.576329,11.536098,-30.105747
629,,0.098746,2.000000,8.785250,82.852500,8.785250,-1.297329,3.235373,7.017154,26.199246,65.764770,-6.469527,11.775178,-30.522430
630,,0.100261,2.000000,8.785250,82.852500,8.785250,-1.299878,3.236017,7.018661,26.153468,70.688773,-5.955077,12.814921,-32.334550
631,,0.101777,2.000000,8.785250,82.852500,8.785250,-1.302427,3.236661,7.020167,26.091367,75.188513,-5.398996,13.765077,-33.990535
632,,0.103292,2.000000,8.785250,82.852500,8.785250,-1.304978,3.237305,7.021672,26.012982,79.232533,-4.805171,14.619004,-35.478806
633,,0.104807,2.000000,8.785250,82.852500,8.785250,-1.307529,3.237949,7.023176,25.918363,82.792562,-4.177754,15.370733,-36.788960
634,,0.106322,2.000000,8.785250,82.852500,8.785250,-1.310080,3.238592,7.024679,25.807567,85.843712,-3.521132,16.015008,-37.911838
635,,0.107837,2.000000,8.785250,82.852500,8.785250,-1.312632,3.239236,7.026181,25.680666,88.364655,-2.839894,16.547325,-38.839590
636,,0.109352,2.000000,8.785250,82.852500,8.785250,-1.315185,3.239879,7.027682,25.537736,90.337765,-2.138803,16.963963,-39.565730
637,,0.110867,2.000000,8.785250,82.852500,8.785250,-1.317738,3.240523,7.029182,25.378869,91.749251,-1.422760,17.262010,-40.085182
638,,0.112383,2.000000,8.785250,82.852500,8.785250,-1.320291,3.241167,7.030681,25.204162,92.589243,-0.696771,17.439381,-40.394314
639,YES,0.000071,2.000000,9.240875,87.408750,9.240875,-1.322845,3.241811,7.032179,0.039897,112.851323,0.047826,19.993064,-44.987862
640,,0.001586,2.000000,9.240875,87.408750,9.240875,-1.325400,3.242456,7.033676,0.725824,97.038518,0.827232,17.918416,-41.257651
